Timestamp,Meter_ID,Consumption_m3,Is_Leak
2024-01-01 10:00:00,Meter_B,0.22,0
2024-01-01 11:00:00,Meter_B,0.20,0
2024-01-01 12:00:00,Meter_B,0.18,0
2024-01-01 13:00:00,Meter_B,0.16,0
2024-01-01 14:00:00,Meter_B,0.17,0
2024-01-01 15:00:00,Meter_B,0.16,0
2024-01-01 16:00:00,Meter_B,0.14,0
2024-01-01 17:00:00,Meter_B,0.12,0
2024-01-01 18:00:00,Meter_B,0.10,0
2024-01-01 19:00:00,Meter_B,0.08,0
2024-01-01 20:00:00,Meter_B,0.07,0
2024-01-01 21:00:00,Meter_B,0.06,0
2024-01-01 22:00:00,Meter_B,0.05,0
2024-01-01 23:00:00,Meter_B,0.04,0
2024-01-02 00:00:00,Meter_B,0.05,0
2024-01-02 01:00:00,Meter_B,0.04,0
2024-01-02 02:00:00,Meter_B,0.03,0
2024-01-02 03:00:00,Meter_B,0.03,0
2024-01-02 04:00:00,Meter_B,0.04,0
2024-01-02 05:00:00,Meter_B,0.06,0
2024-01-02 06:00:00,Meter_B,0.13,0
2024-01-02 07:00:00,Meter_B,0.21,0
2024-01-02 08:00:00,Meter_B,0.26,0
2024-01-02 09:00:00,Meter_B,0.24,0
2024-01-02 10:00:00,Meter_B,0.23,0
2024-01-02 11:00:00,Meter_B,0.21,0
2024-01-02 12:00:00,Meter_B,0.19,0
2024-01-02 13:00:00,Meter_B,0.17,0
2024-01-02 14:00:00,Meter_B,0.18,0
2024-01-02 15:00:00,Meter_B,0.17,0
2024-01-02 16:00:00,Meter_B,0.15,0
2024-01-02 17:00:00,Meter_B,0.13,0
2024-01-02 18:00:00,Meter_B,0.11,0
2024-01-02 19:00:00,Meter_B,0.09,0
2024-01-02 20:00:00,Meter_B,0.08,0
2024-01-02 21:00:00,Meter_B,0.07,0
2024-01-02 22:00:00,Meter_B,0.06,0
2024-01-02 23:00:00,Meter_B,0.05,0
2024-01-03 00:00:00,Meter_B,0.04,0
2024-01-03 01:00:00,Meter_B,0.03,0
2024-01-03 02:00:00,Meter_B,0.02,0
2024-01-03 03:00:00,Meter_B,0.02,0
2024-01-03 04:00:00,Meter_B,0.03,0
2024-01-03 05:00:00,Meter_B,0.05,0
2024-01-03 06:00:00,Meter_B,0.12,0
2024-01-03 07:00:00,Meter_B,0.20,0
2024-01-03 08:00:00,Meter_B,0.25,0
2024-01-03 09:00:00,Meter_B,0.23,0
2024-01-03 10:00:00,Meter_B,0.22,0
2024-01-03 11:00:00,Meter_B,0.20,0
2024-01-03 12:00:00,Meter_B,0.18,0
2024-01-03 13:00:00,Meter_B,0.16,0
2024-01-03 14:00:00,Meter_B,0.17,0
2024-01-03 15:00:00,Meter_B,0.16,0
2024-01-03 16:00:00,Meter_B,0.14,0
2024-01-03 17:00:00,Meter_B,0.12,0
2024-01-03 18:00:00,Meter_B,0.10,0
2024-01-03 19:00:00,Meter_B,0.08,0
2024-01-03 20:00:00,Meter_B,0.07,0
2024-01-03 21:00:00,Meter_B,0.06,0
2024-01-03 22:00:00,Meter_B,0.05,0
2024-01-03 23:00:00,Meter_B,0.04,0
